Date,BTC,ETH,DOGE,DOT
2020-10-26 00:00:00 UTC,13021.41084,406.1570941,0.002653297,4.334041431
2020-10-27 00:00:00 UTC,13060.79221,393.3829084,0.002672886,4.687976439
2020-10-28 00:00:00 UTC,13655.18542,403.5298378,0.002676274,4.68258797
2020-10-29 00:00:00 UTC,13282.99935,388.8773399,0.00259056,4.360419432
2020-10-30 00:00:00 UTC,13441.8785,386.446013,0.002585819,4.053504888
2020-10-31 00:00:00 UTC,13537.17427,382.900771,0.002589971,4.090725681
2020-11-01 00:00:00 UTC,13778.63764,385.8445888,0.0025629,4.178017676
2020-11-02 00:00:00 UTC,13720.36147,394.936342,0.002574845,4.201885921
2020-11-03 00:00:00 UTC,13558.3618,383.8498034,0.002524852,4.024507247
2020-11-04 00:00:00 UTC,13989.97636,387.6163737,0.002519626,4.025233394
2020-11-05 00:00:00 UTC,14101.71605,401.7330968,0.002520693,4.081369264
2020-11-06 00:00:00 UTC,15553.3317,415.9277704,0.002655216,4.233078492
2020-11-07 00:00:00 UTC,15548.31215,454.6515431,0.002757415,4.570121705
2020-11-08 00:00:00 UTC,14818.45891,435.4183541,0.002672199,4.2370735
2020-11-09 00:00:00 UTC,15496.31615,455.358367,0.002681396,4.363189805
2020-11-10 00:00:00 UTC,15335.3422,445.0512933,0.002673317,4.339818012
2020-11-11 00:00:00 UTC,15278.70966,449.8161845,0.002764884,4.409560532
2020-11-12 00:00:00 UTC,15686.90599,463.1808717,0.002770092,4.448790896
2020-11-13 00:00:00 UTC,16265.14925,462.2056196,0.00278663,4.38789788
2020-11-14 00:00:00 UTC,16326.81488,475.9690937,0.002838131,4.543670477
2020-11-15 00:00:00 UTC,16095.56151,462.7183971,0.002753265,4.467036596
2020-11-16 00:00:00 UTC,15984.67378,449.2068016,0.002780403,4.371535464
2020-11-17 00:00:00 UTC,16714.40386,461.3711967,0.002895581,4.489781698
2020-11-18 00:00:00 UTC,17651.82043,482.1983847,0.002944599,4.830331992
2020-11-19 00:00:00 UTC,17829.93496,479.4376614,0.002919964,4.685764154
2020-11-20 00:00:00 UTC,17819.75743,471.3179584,0.002904592,4.754053431
2020-11-21 00:00:00 UTC,18628.81349,508.7922146,0.002989555,5.22911378
2020-11-22 00:00:00 UTC,18689.52866,548.8421162,0.003510111,5.757536695
2020-11-23 00:00:00 UTC,18390.61184,560.5088875,0.003346886,5.494676717
2020-11-24 00:00:00 UTC,18360.6933,608.2733109,0.003590159,5.895639961
2020-11-25 00:00:00 UTC,19091.52418,602.6662624,0.00415381,5.713439713
2020-11-26 00:00:00 UTC,18753.28892,568.275153,0.003725841,5.304069822
2020-11-27 00:00:00 UTC,17138.02951,518.4670452,0.003248732,4.799368169
2020-11-28 00:00:00 UTC,17140.27555,517.5530264,0.003281445,4.789256504
2020-11-29 00:00:00 UTC,17718.97283,537.3926121,0.003414204,4.889793511
2020-11-30 00:00:00 UTC,18169.95421,574.7511197,0.003449534,5.185800478
2020-12-01 00:00:00 UTC,19609.52144,612.2637856,0.003560699,5.354461939
2020-12-02 00:00:00 UTC,18857.41737,589.5818444,0.003358532,5.103662737
2020-12-03 00:00:00 UTC,19208.39819,598.7606101,0.003379964,5.479168802
2020-12-04 00:00:00 UTC,19435.20485,616.5066616,0.003420637,5.410465395
2020-12-05 00:00:00 UTC,18711.22655,571.1904316,0.003308823,5.050151462
2020-12-06 00:00:00 UTC,19139.11158,595.919414,0.003394701,5.192111883
2020-12-07 00:00:00 UTC,19325.55412,601.9689349,0.003387468,5.127694319
2020-12-08 00:00:00 UTC,19198.80649,592.3865067,0.003338012,5.060144767
2020-12-09 00:00:00 UTC,18336.51458,554.3296743,0.003184176,4.739434958
2020-12-10 00:00:00 UTC,18564.98646,573.8953091,0.003154872,4.863467872
2020-12-11 00:00:00 UTC,18262.05838,560.4542654,0.003116112,4.799326849
2020-12-12 00:00:00 UTC,18058.02734,545.9828353,0.003079334,4.627222115
2020-12-13 00:00:00 UTC,18807.0954,568.3587534,0.003167718,4.737725657
2020-12-14 00:00:00 UTC,19151.13442,590.3244403,0.00326343,4.88911949
2020-12-15 00:00:00 UTC,19259.97047,585.5418949,0.003224838,4.898343041
2020-12-16 00:00:00 UTC,19432.36246,589.0668316,0.00321581,5.262614123
2020-12-17 00:00:00 UTC,21317.66214,635.9618894,0.003423607,5.358418753
2020-12-18 00:00:00 UTC,22805.65581,644.0652702,0.003726364,5.346437616
2020-12-19 00:00:00 UTC,23120.57055,654.4204163,0.003843981,5.364309779
2020-12-20 00:00:00 UTC,23863.85484,659.3188076,0.003924839,5.338112957
2020-12-21 00:00:00 UTC,23518.31842,639.5154369,0.004615995,5.18223912
2020-12-22 00:00:00 UTC,22840.99171,610.4270279,0.004801855,4.892651645
2020-12-23 00:00:00 UTC,23794.7933,634.9797234,0.004533535,5.153342961
2020-12-24 00:00:00 UTC,23308.12723,587.9588955,0.00382649,4.738927849
2020-12-25 00:00:00 UTC,23760.28705,612.8796571,0.004587077,5.135446441
2020-12-26 00:00:00 UTC,24671.10771,626.4567388,0.00458921,5.211168044
2020-12-27 00:00:00 UTC,26476.13014,636.7423172,0.004516046,5.211078204
2020-12-28 00:00:00 UTC,26423.22879,689.6598573,0.004552182,5.170288678
2020-12-29 00:00:00 UTC,27125.38412,732.9570293,0.004603794,6.609020866
2020-12-30 00:00:00 UTC,27424.53895,735.5908982,0.004493495,7.574707919
2020-12-31 00:00:00 UTC,28837.28853,752.8559324,0.004656391,7.27901519
2021-01-01 00:00:00 UTC,29022.4184,738.6169382,0.004706605,9.36103707
2021-01-02 00:00:00 UTC,29352.12679,730.1473402,0.005538272,8.309384385
2021-01-03 00:00:00 UTC,32163.82494,777.6960653,0.010603075,9.223083455
2021-01-04 00:00:00 UTC,33008.2262,967.0005967,0.010086682,10.27944457
2021-01-05 00:00:00 UTC,31515.57597,1025.654768,0.009591751,9.259346327
